,Variable1,Variable2,ADF Statistic
218,Group_0_Coint_2,Group_0_Coint_5,-2.7480378083759294
219,Group_0_Coint_5,Group_0_Coint_2,-2.7480378083759294
220,Group_0_Coint_2,Group_0_Coint_6,-1.8638948832715108
221,Group_0_Coint_6,Group_0_Coint_2,-1.8638948832715108
222,Group_0_Coint_2,Group_0_Coint_7,-2.1000485785062626
223,Group_0_Coint_7,Group_0_Coint_2,-2.1000485785062626
224,Group_0_Coint_2,Group_0_Coint_8,-3.2257965774348114
225,Group_0_Coint_8,Group_0_Coint_2,-3.2257965774348114
226,Group_0_Coint_2,Group_0_Coint_9,-2.6708804391247725
227,Group_0_Coint_9,Group_0_Coint_2,-2.6708804391247725
228,Group_0_Coint_2,Group_1_Coint_0,-1.6205796951648928
229,Group_1_Coint_0,Group_0_Coint_2,-1.6205796951648928
230,Group_0_Coint_2,Group_1_Coint_1,-1.656805760557048
231,Group_1_Coint_1,Group_0_Coint_2,-1.656805760557048
232,Group_0_Coint_2,Group_1_Coint_2,-1.97714996332541
233,Group_1_Coint_2,Group_0_Coint_2,-1.97714996332541
234,Group_0_Coint_2,Group_1_Coint_3,-1.6787836645453333
235,Group_1_Coint_3,Group_0_Coint_2,-1.6787836645453333
236,Group_0_Coint_2,Group_1_Coint_4,-1.7572910876158563
237,Group_1_Coint_4,Group_0_Coint_2,-1.7572910876158563
238,Group_0_Coint_2,Group_1_Coint_5,-1.8367798603077239
239,Group_1_Coint_5,Group_0_Coint_2,-1.8367798603077239
240,Group_0_Coint_2,Group_1_Coint_6,-1.6462923466319435
241,Group_1_Coint_6,Group_0_Coint_2,-1.6462923466319435
242,Group_0_Coint_2,Group_1_Coint_7,-1.9202328116428289
243,Group_1_Coint_7,Group_0_Coint_2,-1.9202328116428289
244,Group_0_Coint_2,Group_1_Coint_8,-1.7189222824069519
245,Group_1_Coint_8,Group_0_Coint_2,-1.7189222824069519
246,Group_0_Coint_2,Group_1_Coint_9,-1.7684769084973486
247,Group_1_Coint_9,Group_0_Coint_2,-1.7684769084973486
248,Group_0_Coint_2,Group_2_Coint_0,-1.575089981447073
249,Group_2_Coint_0,Group_0_Coint_2,-1.575089981447073
250,Group_0_Coint_2,Group_2_Coint_1,-1.4338625255642252
251,Group_2_Coint_1,Group_0_Coint_2,-1.4338625255642252
252,Group_0_Coint_2,Group_2_Coint_2,-1.3777968481763232
253,Group_2_Coint_2,Group_0_Coint_2,-1.3777968481763232
254,Group_0_Coint_2,Group_2_Coint_3,-1.5022810905809119
255,Group_2_Coint_3,Group_0_Coint_2,-1.5022810905809119
256,Group_0_Coint_2,Group_2_Coint_4,-1.7785689114711771
257,Group_2_Coint_4,Group_0_Coint_2,-1.7785689114711771
258,Group_0_Coint_2,Group_2_Coint_5,-1.4547770096281158
259,Group_2_Coint_5,Group_0_Coint_2,-1.4547770096281158
260,Group_0_Coint_2,Group_2_Coint_6,-1.4322442790179701
261,Group_2_Coint_6,Group_0_Coint_2,-1.4322442790179701
262,Group_0_Coint_2,Group_2_Coint_7,-1.4910493862318819
263,Group_2_Coint_7,Group_0_Coint_2,-1.4910493862318819
264,Group_0_Coint_2,Group_2_Coint_8,-1.4716909080467013
265,Group_2_Coint_8,Group_0_Coint_2,-1.4716909080467013
266,Group_0_Coint_2,Group_2_Coint_9,-1.3195786383192607
267,Group_2_Coint_9,Group_0_Coint_2,-1.3195786383192607
268,Group_0_Coint_2,Group_3_Coint_0,-1.61366834971815
269,Group_3_Coint_0,Group_0_Coint_2,-1.61366834971815
270,Group_0_Coint_2,Group_3_Coint_1,-1.6217618768523119
271,Group_3_Coint_1,Group_0_Coint_2,-1.6217618768523119
272,Group_0_Coint_2,Group_3_Coint_2,-1.6769956725659032
273,Group_3_Coint_2,Group_0_Coint_2,-1.6769956725659032
274,Group_0_Coint_2,Group_3_Coint_3,-1.5923651826798533
275,Group_3_Coint_3,Group_0_Coint_2,-1.5923651826798533
276,Group_0_Coint_2,Group_3_Coint_4,-1.7104925742931538
277,Group_3_Coint_4,Group_0_Coint_2,-1.7104925742931538
278,Group_0_Coint_2,Group_3_Coint_5,-1.6559526368098307
279,Group_3_Coint_5,Group_0_Coint_2,-1.6559526368098307
280,Group_0_Coint_2,Group_3_Coint_6,-1.6922296672642556
281,Group_3_Coint_6,Group_0_Coint_2,-1.6922296672642556
282,Group_0_Coint_2,Group_3_Coint_7,-1.831949703624543
283,Group_3_Coint_7,Group_0_Coint_2,-1.831949703624543
284,Group_0_Coint_2,Group_3_Coint_8,-1.7830944217424818
285,Group_3_Coint_8,Group_0_Coint_2,-1.7830944217424818
286,Group_0_Coint_2,Group_3_Coint_9,-1.5276150733771745
287,Group_3_Coint_9,Group_0_Coint_2,-1.5276150733771745
288,Group_0_Coint_2,Group_4_Coint_0,-2.8493946648315926
289,Group_4_Coint_0,Group_0_Coint_2,-2.8493946648315926
290,Group_0_Coint_2,Group_4_Coint_1,-2.8908406554967745
291,Group_4_Coint_1,Group_0_Coint_2,-2.8908406554967745
292,Group_0_Coint_2,Group_4_Coint_2,-2.8938326648874693
293,Group_4_Coint_2,Group_0_Coint_2,-2.8938326648874693
294,Group_0_Coint_2,Group_4_Coint_3,-2.8437056737138193
295,Group_4_Coint_3,Group_0_Coint_2,-2.8437056737138193
296,Group_0_Coint_2,Group_4_Coint_4,-2.8075080188724892
297,Group_4_Coint_4,Group_0_Coint_2,-2.8075080188724892
298,Group_0_Coint_2,Group_4_Coint_5,-2.830410101344894
299,Group_4_Coint_5,Group_0_Coint_2,-2.830410101344894
300,Group_0_Coint_2,Group_4_Coint_6,-2.8267112315381913
301,Group_4_Coint_6,Group_0_Coint_2,-2.8267112315381913
302,Group_0_Coint_2,Group_4_Coint_7,-2.846751422619633
303,Group_4_Coint_7,Group_0_Coint_2,-2.846751422619633
304,Group_0_Coint_2,Group_4_Coint_8,-2.8431173805237178
305,Group_4_Coint_8,Group_0_Coint_2,-2.8431173805237178
306,Group_0_Coint_2,Group_4_Coint_9,-2.873100212751761
307,Group_4_Coint_9,Group_0_Coint_2,-2.873100212751761
308,Group_0_Coint_2,Indep_0,-3.1275309340459656
309,Indep_0,Group_0_Coint_2,-3.1275309340459656
310,Group_0_Coint_2,Indep_1,-2.414726214831875
311,Indep_1,Group_0_Coint_2,-2.414726214831875
312,Group_0_Coint_2,Indep_2,-1.8290937877816908
313,Indep_2,Group_0_Coint_2,-1.8290937877816908
314,Group_0_Coint_2,Indep_3,-1.6892686434803852
315,Indep_3,Group_0_Coint_2,-1.6892686434803852
316,Group_0_Coint_2,Indep_4,-1.371036723543324
317,Indep_4,Group_0_Coint_2,-1.371036723543324
318,Group_0_Coint_3,Group_0_Coint_4,-2.4079484899354457
319,Group_0_Coint_4,Group_0_Coint_3,-2.4079484899354457
320,Group_0_Coint_3,Group_0_Coint_5,-2.8939076971993294
321,Group_0_Coint_5,Group_0_Coint_3,-2.8939076971993294
322,Group_0_Coint_3,Group_0_Coint_6,-2.4106382573101794
323,Group_0_Coint_6,Group_0_Coint_3,-2.4106382573101794
324,Group_0_Coint_3,Group_0_Coint_7,-2.5099543309057535
325,Group_0_Coint_7,Group_0_Coint_3,-2.5099543309057535
326,Group_0_Coint_3,Group_0_Coint_8,-2.4895586255381903
327,Group_0_Coint_8,Group_0_Coint_3,-2.4895586255381903
328,Group_0_Coint_3,Group_0_Coint_9,-2.2417585164363008
329,Group_0_Coint_9,Group_0_Coint_3,-2.2417585164363008
330,Group_0_Coint_3,Group_1_Coint_0,-1.6894292866923377
331,Group_1_Coint_0,Group_0_Coint_3,-1.6894292866923377
332,Group_0_Coint_3,Group_1_Coint_1,-1.7255586760504715
333,Group_1_Coint_1,Group_0_Coint_3,-1.7255586760504715
334,Group_0_Coint_3,Group_1_Coint_2,-2.0443236607429793
335,Group_1_Coint_2,Group_0_Coint_3,-2.0443236607429793
336,Group_0_Coint_3,Group_1_Coint_3,-1.7447568123027435
337,Group_1_Coint_3,Group_0_Coint_3,-1.7447568123027435
338,Group_0_Coint_3,Group_1_Coint_4,-1.8248008333082797
339,Group_1_Coint_4,Group_0_Coint_3,-1.8248008333082797
340,Group_0_Coint_3,Group_1_Coint_5,-1.907543870296405
341,Group_1_Coint_5,Group_0_Coint_3,-1.907543870296405
342,Group_0_Coint_3,Group_1_Coint_6,-1.7128397962629254
343,Group_1_Coint_6,Group_0_Coint_3,-1.7128397962629254
344,Group_0_Coint_3,Group_1_Coint_7,-1.9920138940946033
345,Group_1_Coint_7,Group_0_Coint_3,-1.9920138940946033
346,Group_0_Coint_3,Group_1_Coint_8,-1.787893631576359
347,Group_1_Coint_8,Group_0_Coint_3,-1.787893631576359
348,Group_0_Coint_3,Group_1_Coint_9,-1.834227402060416
349,Group_1_Coint_9,Group_0_Coint_3,-1.834227402060416
350,Group_0_Coint_3,Group_2_Coint_0,-1.5917896112999332
351,Group_2_Coint_0,Group_0_Coint_3,-1.5917896112999332
352,Group_0_Coint_3,Group_2_Coint_1,-1.4543553145089234
353,Group_2_Coint_1,Group_0_Coint_3,-1.4543553145089234
354,Group_0_Coint_3,Group_2_Coint_2,-1.4001979095839516
355,Group_2_Coint_2,Group_0_Coint_3,-1.4001979095839516
356,Group_0_Coint_3,Group_2_Coint_3,-1.5210240802017834
357,Group_2_Coint_3,Group_0_Coint_3,-1.5210240802017834
358,Group_0_Coint_3,Group_2_Coint_4,-1.7932626254612427
359,Group_2_Coint_4,Group_0_Coint_3,-1.7932626254612427
360,Group_0_Coint_3,Group_2_Coint_5,-1.4744924163983049
361,Group_2_Coint_5,Group_0_Coint_3,-1.4744924163983049
362,Group_0_Coint_3,Group_2_Coint_6,-1.4528941690271768
363,Group_2_Coint_6,Group_0_Coint_3,-1.4528941690271768
364,Group_0_Coint_3,Group_2_Coint_7,-1.511301247239129
365,Group_2_Coint_7,Group_0_Coint_3,-1.511301247239129
366,Group_0_Coint_3,Group_2_Coint_8,-1.4913543464939154
367,Group_2_Coint_8,Group_0_Coint_3,-1.4913543464939154
368,Group_0_Coint_3,Group_2_Coint_9,-1.3430324273998164
369,Group_2_Coint_9,Group_0_Coint_3,-1.3430324273998164
370,Group_0_Coint_3,Group_3_Coint_0,-1.6501295603433
371,Group_3_Coint_0,Group_0_Coint_3,-1.6501295603433
372,Group_0_Coint_3,Group_3_Coint_1,-1.6583405431621983
373,Group_3_Coint_1,Group_0_Coint_3,-1.6583405431621983
374,Group_0_Coint_3,Group_3_Coint_2,-1.7122420765359414
375,Group_3_Coint_2,Group_0_Coint_3,-1.7122420765359414
376,Group_0_Coint_3,Group_3_Coint_3,-1.628589668065382
377,Group_3_Coint_3,Group_0_Coint_3,-1.628589668065382
378,Group_0_Coint_3,Group_3_Coint_4,-1.7464997943238236
379,Group_3_Coint_4,Group_0_Coint_3,-1.7464997943238236
380,Group_0_Coint_3,Group_3_Coint_5,-1.6920381651180385
381,Group_3_Coint_5,Group_0_Coint_3,-1.6920381651180385
382,Group_0_Coint_3,Group_3_Coint_6,-1.7279686157231835
383,Group_3_Coint_6,Group_0_Coint_3,-1.7279686157231835
384,Group_0_Coint_3,Group_3_Coint_7,-1.8690657235801809
385,Group_3_Coint_7,Group_0_Coint_3,-1.8690657235801809
386,Group_0_Coint_3,Group_3_Coint_8,-1.8177384212366265
387,Group_3_Coint_8,Group_0_Coint_3,-1.8177384212366265
388,Group_0_Coint_3,Group_3_Coint_9,-1.560777067731474
389,Group_3_Coint_9,Group_0_Coint_3,-1.560777067731474
390,Group_0_Coint_3,Group_4_Coint_0,-2.9028120628308294
391,Group_4_Coint_0,Group_0_Coint_3,-2.9028120628308294
392,Group_0_Coint_3,Group_4_Coint_1,-2.9469967248772235
393,Group_4_Coint_1,Group_0_Coint_3,-2.9469967248772235
394,Group_0_Coint_3,Group_4_Coint_2,-2.9490560233448933
395,Group_4_Coint_2,Group_0_Coint_3,-2.9490560233448933
396,Group_0_Coint_3,Group_4_Coint_3,-2.8978563870575575
397,Group_4_Coint_3,Group_0_Coint_3,-2.8978563870575575
398,Group_0_Coint_3,Group_4_Coint_4,-2.86125063914755
399,Group_4_Coint_4,Group_0_Coint_3,-2.86125063914755
400,Group_0_Coint_3,Group_4_Coint_5,-2.885043441420724
401,Group_4_Coint_5,Group_0_Coint_3,-2.885043441420724
402,Group_0_Coint_3,Group_4_Coint_6,-2.8796855743835916
403,Group_4_Coint_6,Group_0_Coint_3,-2.8796855743835916
404,Group_0_Coint_3,Group_4_Coint_7,-2.9025688680074864
405,Group_4_Coint_7,Group_0_Coint_3,-2.9025688680074864
406,Group_0_Coint_3,Group_4_Coint_8,-2.897679315848093
407,Group_4_Coint_8,Group_0_Coint_3,-2.897679315848093
408,Group_0_Coint_3,Group_4_Coint_9,-2.927363942670295
409,Group_4_Coint_9,Group_0_Coint_3,-2.927363942670295
410,Group_0_Coint_3,Indep_0,-3.161549894415398
411,Indep_0,Group_0_Coint_3,-3.161549894415398
412,Group_0_Coint_3,Indep_1,-2.4431552232052933
413,Indep_1,Group_0_Coint_3,-2.4431552232052933
414,Group_0_Coint_3,Indep_2,-1.865368669838943
415,Indep_2,Group_0_Coint_3,-1.865368669838943
416,Group_0_Coint_3,Indep_3,-1.7335430698534722
417,Indep_3,Group_0_Coint_3,-1.7335430698534722
418,Group_0_Coint_3,Indep_4,-1.4004832805643517
419,Indep_4,Group_0_Coint_3,-1.4004832805643517
